symbol,name,price,volume_24h,market_cap,change_pct_24h,tradable
MASK,Mask Network,3.27,50624860.0,327159896.0,1.781704,True
GRIFFAIN,Griffain,0.325625,92389576.0,325652066.0,-12.839731,True
LUNA2,Terra 2.0,0.472027,48491513.0,324532916.0,3.882332,True
NEIRO,Neiro,0.000771,117293541.0,323499846.0,5.97503,True
ACH,Alchemy Pay,0.064812,548443473.0,322380705.0,20.787775,True
GMX,GMX,31.22,18752265.0,310651312.0,5.325321,True
GAL,Galxe,2.43,292855.0,310233957.0,6.320228,True
DYM,Dymension,1.37,16429957.0,307390560.0,4.219691,True
ZEUS,Zeus Network,0.789654,20684838.0,302437834.0,5.459274,True
LRC,Loopring,0.240356,21850306.0,299726894.0,2.510845,True
G,Gravity,0.040642,32780206.0,293693366.0,6.576249,True
FIDA,Bonfida,0.292739,25045085.0,289893257.0,4.245926,True
GOAT,Goatseus Maximus,0.288242,80132856.0,287243008.0,1.715347,True
HONEY,Hivemapper,0.090409,1762032.0,286492815.0,3.57416,True
COW,CoW Protocol,0.846474,23618985.0,280602064.0,6.894119,True
ALT,AltLayer,0.107105,40224777.0,273224013.0,5.328283,True
UMA,Universal Market Access,3.23,24412136.0,272821192.0,3.226152,True
BAND,Band Protocol,1.74,18992501.0,270747501.0,5.848777,True
NOS,Nosana,3.14,2721608.0,261948290.0,1.590514,True
RPL,Rocket Pool,12.26,13300973.0,258129664.0,6.544494,True
ACT,Act I The AI Prophecy,0.271556,108258207.0,256835127.0,1.082289,True
COTI,COTI,0.139377,30954667.0,249505116.0,7.28215,True
AUDIO,Audius,0.188734,14114195.0,244172258.0,1.987015,True
ICX,ICON,0.229981,3225709.0,240676910.0,3.955493,True
GLMR,Moonbeam,0.245914,12144295.0,232385821.0,4.558735,True
NANO,Nano,1.71,1456526.0,228353665.0,3.115945,True
PHA,Phala.Network,0.29269,41822510.0,227234378.0,3.740291,True
KMNO,Kamino,0.166886,15961432.0,225267699.0,3.783019,True
ORCA,Orca,4.19,53274445.0,223463080.0,4.435272,True
BAL,Balancer,3.59,15930037.0,221593257.0,4.648509,True
POND,Marlin,0.027209,18624859.0,219781182.0,-1.648541,True
LQTY,Liquity,2.23,46408381.0,216493243.0,2.557165,True
API3,API3,1.81,16316765.0,212273630.0,4.337767,True
LSK,Lisk,1.26,41933613.0,210579819.0,2.787772,True
BITCOIN,HarryPotterObamaSonic10Inu,0.20955,8779630.0,209483750.0,12.93607,True
BIGTIME,Big Time,0.129908,69962915.0,209341243.0,2.816307,True
YGG,Yield Guild Games,0.483183,48327542.0,198194166.0,5.574723,True
VANRY,Vanar Chain,0.104249,17876477.0,196284759.0,4.632948,True
POWR,Power Ledger,0.369647,24878565.0,195815632.0,1.788353,True
CHR,Chromia,0.231737,23415325.0,194084816.0,2.799088,True
SAGA,Saga,1.66,46655237.0,182680933.0,4.122802,True
CFG,Centrifuge,0.346668,2080023.0,178390127.0,4.014492,True
GFI,Goldfinch,1.9,1888876.0,175625077.0,-2.144092,True
AGLD,Adventure Gold,2.24,29285201.0,173709328.0,5.70739,True
APU,Apu Apustaja,0.000514,9791631.0,173443116.0,9.598045,True
TNSR,Tensor,0.662297,64048094.0,172591424.0,9.642138,True
RLC,iExec RLC,2.35,16660756.0,169850534.0,2.100561,True
SGB,Songbird,0.010782,1098378.0,167488229.0,6.288698,True
CTSI,Cartesi,0.195639,19109952.0,167115116.0,6.013597,True
C98,Coin98,0.182304,19969280.0,164203708.0,3.216064,True
CVC,Civic,0.199939,13854055.0,160350235.0,0.764048,True
MOODENG,Moo Deng,0.160998,108166404.0,158744950.0,4.814767,True
DENT,Dent,0.001653,17013539.0,158086435.0,6.398995,True
SYN,Synapse,0.681826,12192407.0,149358475.0,6.998858,True
NMR,Numeraire,18.5,20708551.0,145423480.0,4.97585,True
SCRT,Secret Network,0.482405,5931412.0,144112183.0,7.332578,True
SYRUP,Syrup,0.195234,1064610.0,143843735.0,2.463785,True
ZEREBRO,Zerebro,0.140809,33181845.0,141237786.0,7.356026,True
OCEAN,Ocean Protocol,0.659932,649837.0,140144446.0,5.729565,True
FWOG,Fwog,0.140445,36520496.0,137199820.0,-9.619857,True
REQ,Request,0.174279,2395437.0,134051734.0,0.404975,True
