datetime,open,high,low,close,volume,average,barCount,symbol,interval
2023-03-07 00:00:00+00:00,189.0,190.24,184.01,184.51,26827089.0,186.474,125225,META,1d
2023-03-08 00:00:00+00:00,182.88,185.26,181.34,184.97,14562101.0,183.335,72332,META,1d
2023-03-09 00:00:00+00:00,186.32,188.93,180.3,181.69,19436998.0,184.459,92356,META,1d
2023-03-10 00:00:00+00:00,181.01,184.77,178.8,179.51,18161470.0,181.49,92540,META,1d
2023-03-13 00:00:00+00:00,177.91,183.78,174.82,180.9,16923010.0,180.892,88473,META,1d
2023-03-14 00:00:00+00:00,187.59,194.32,186.56,194.02,29878070.0,191.485,139470,META,1d
2023-03-15 00:00:00+00:00,192.95,197.78,190.83,197.75,29524072.0,194.16,143212,META,1d
2023-03-16 00:00:00+00:00,198.25,205.76,196.08,204.93,36846628.0,200.225,175145,META,1d
2023-03-17 00:00:00+00:00,200.23,201.9,195.43,195.61,26820990.0,198.601,132405,META,1d
2023-03-20 00:00:00+00:00,198.48,199.36,193.64,197.81,17128809.0,196.559,84319,META,1d
2023-03-21 00:00:00+00:00,203.2,203.55,197.95,202.16,21647190.0,200.644,104655,META,1d
2023-03-22 00:00:00+00:00,202.5,207.37,199.67,199.81,20813313.0,203.736,94413,META,1d
2023-03-23 00:00:00+00:00,202.72,207.88,202.15,204.28,19092253.0,205.381,87788,META,1d
2023-03-24 00:00:00+00:00,205.18,207.58,203.55,206.01,20888893.0,205.443,97123,META,1d
2023-03-27 00:00:00+00:00,204.81,205.86,201.36,202.84,12519502.0,203.352,63980,META,1d
2023-03-28 00:00:00+00:00,200.2,201.03,197.9,200.68,13794821.0,199.472,71071,META,1d
2023-03-29 00:00:00+00:00,203.44,205.72,202.53,205.35,12959324.0,204.36,67354,META,1d
2023-03-30 00:00:00+00:00,203.28,208.09,202.82,207.84,15994966.0,206.594,76170,META,1d
2023-03-31 00:00:00+00:00,207.24,212.17,206.77,211.94,16205543.0,210.013,81031,META,1d
2023-04-03 00:00:00+00:00,208.85,213.49,208.2,213.07,12843207.0,210.985,65093,META,1d
2023-04-04 00:00:00+00:00,213.39,216.24,212.54,214.72,14687375.0,214.16,72212,META,1d
2023-04-05 00:00:00+00:00,214.3,215.19,209.94,211.48,13473468.0,211.951,67269,META,1d
2023-04-06 00:00:00+00:00,209.21,216.94,208.65,216.1,19078091.0,213.886,94090,META,1d
2023-04-10 00:00:00+00:00,214.8,215.66,210.66,214.75,11165818.0,213.201,57277,META,1d
2023-04-11 00:00:00+00:00,215.48,216.02,213.41,213.85,11291683.0,214.818,61607,META,1d
2023-04-12 00:00:00+00:00,214.7,216.84,212.58,214.0,13837338.0,214.963,67671,META,1d
